ID;Area;Priorità;Dispositivo;Contesto;Rotta;Componente;Azione;Esito atteso;Esito;Difetto osservato;Riferimento;Verifica automatica
QA-001;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;Programme;Aprire l’indirizzo e guardare cosa è a schermo;Si apre sulla serata 81, la prima futura non annullata, non in cima all’archivio;;;regola 10;
QA-002;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;Programme;Un flick verso l’alto;"Lo snap aggancia la serata 82 intera; non resta a metà fra due scene";;;regola 1;
QA-003;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/;Programme;Trascinare lentamente fino a metà scena e rilasciare;Atterra su una sola scena e non oscilla fra le due;;;regola 1;
QA-004;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/81;Scene;Leggere il titolo della serata;Intero, non tagliato dal bordo né coperto dalla pillola della navigazione;;;PR 18;
QA-005;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/81;Scene;Guardare la fotografia;La capsula inclinata sta nella sua fascia e non copre titolo né occhiello;;;PR 18;
QA-006;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/81;Scene;Leggere la riga della sede;Nome del luogo sopra, via e città sotto, su due righe distinte;;;regola 19;
QA-007;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/81;Scene;Leggere la nota sotto i bottoni;Leggibile per intero, non tagliata dalla barra della Timeline;;;PR 18;
QA-008;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/80;Scene;Guardare la serata annullata;Titolo e data barrati, la parola «annullata» leggibile sopra il titolo;;;PR 3;
QA-009;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/78;Scene;Guardare la descrizione su schermo corto;La descrizione cede prima della fotografia, che resta sempre;;;PR 18;
QA-010;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/81;Button;Toccare «Prenota il posto»;Si apre il modale con la spiegazione, non direttamente WhatsApp;;;PR 12;
QA-011;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/81;Modal;Leggere il pannello aperto;"Il testo sta dentro il pannello; se è lungo scorre il pannello e non la pagina";;;vincoli-tecnici;
QA-012;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/81;Modal;Toccare la X di chiusura;Si chiude e la pagina è rimasta sulla serata 81;;;PR 12;
QA-013;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/81;Modal;Toccare il fondo scuro fuori dal pannello;Si chiude;;;PR 12;
QA-014;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/78;Modal;Toccare «Rivedi la serata»;Il pannello porta il titolo della serata e le righe dei materiali;;;PR 12;
QA-015;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;Timeline;Guardare la barra in basso;La pillola piena è la serata a schermo;;;PR 11;
QA-016;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;Timeline;Scorrere la barra di lato fino alla serata 78;La barra scorre, ogni tacca porta la sua data, nessuna è un segno nudo;;;regola 14;
QA-017;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;Timeline;Toccare la tacca della serata 78;La pagina atterra sulla 78 subito, senza attraversare le serate in mezzo;;;regola 15;
QA-018;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;Timeline;Misurare la pillola con un dito;"Almeno 44 px di altezza; toccandone una non si colpisce quella accanto";;;PR 18;
QA-019;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;SiteNav;Leggere il marchio nella pillola in alto;La scritta «in Periferia» c’è per intero e si legge;;;regola 7;
QA-020;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;SiteNav;Toccare la tendina;"Si apre e mostra le quattro voci; il pannello non esce dal bordo dello schermo";;;regola 18;
QA-021;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/;SiteNav;Provare a toccare «Rassegna stampa»;Non è toccabile e si vede che non lo è: nessun cambio di stato;;;regola 18;
QA-022;Resa sul dispositivo;alta;iPhone Safari 15.4-16.3;verticale;/;CycleAccents;Passare dalla serata 81 (verde) alla 83 (turchese);L’accento del sito cambia una volta sola, senza lampeggiare sui colori intermedi;;;regola 12;
